date,source,metric,value,currency,source_version
2026-08-03,tuition-system,collected_revenue,21000.00,USD,revenue-2026-08-03-v1
2026-08-03,tuition-system,outstanding_balance,6000.00,USD,revenue-2026-08-03-v1
2026-08-03,tuition-system,enrolled_students,80,,revenue-2026-08-03-v1
2026-08-03,tuition-system,past_due_accounts,11,,revenue-2026-08-03-v1
2026-08-03,tuition-system,payment_plan_balance,2600.00,USD,revenue-2026-08-03-v1
2026-08-05,tuition-system,collected_revenue,22000.00,USD,revenue-2026-08-05-v1
2026-08-05,tuition-system,outstanding_balance,5650.00,USD,revenue-2026-08-05-v1
2026-08-05,tuition-system,enrolled_students,81,,revenue-2026-08-05-v1
2026-08-05,tuition-system,past_due_accounts,10,,revenue-2026-08-05-v1
2026-08-05,tuition-system,payment_plan_balance,2450.00,USD,revenue-2026-08-05-v1
2026-08-07,tuition-system,collected_revenue,23100.00,USD,revenue-2026-08-07-v1
2026-08-07,tuition-system,outstanding_balance,5200.00,USD,revenue-2026-08-07-v1
2026-08-07,tuition-system,enrolled_students,82,,revenue-2026-08-07-v1
2026-08-07,tuition-system,past_due_accounts,9,,revenue-2026-08-07-v1
2026-08-07,tuition-system,payment_plan_balance,2300.00,USD,revenue-2026-08-07-v1
2026-08-10,tuition-system,collected_revenue,24600.00,USD,revenue-2026-08-10-v1
2026-08-10,tuition-system,outstanding_balance,4700.00,USD,revenue-2026-08-10-v1
2026-08-10,tuition-system,enrolled_students,83,,revenue-2026-08-10-v1
2026-08-10,tuition-system,past_due_accounts,8,,revenue-2026-08-10-v1
2026-08-10,tuition-system,payment_plan_balance,2100.00,USD,revenue-2026-08-10-v1
2026-08-11,tuition-system,collected_revenue,25100.00,USD,revenue-2026-08-11-v2
2026-08-11,tuition-system,outstanding_balance,4300.00,USD,revenue-2026-08-11-v2
2026-08-11,tuition-system,enrolled_students,84,,revenue-2026-08-11-v2
2026-08-11,tuition-system,past_due_accounts,7,,revenue-2026-08-11-v2
2026-08-11,tuition-system,payment_plan_balance,1950.00,USD,revenue-2026-08-11-v2
